tconst	averageRating	numVotes
tt0236507	5.8	13
tt0237166	7.4	16
tt0238094	7.7	22
tt0238655	8.3	25
tt0239416	5.1	11
tt0239667	6.0	35
tt0239795	7.3	45
tt0239797	6.9	630
tt0240110	6.9	40
tt0240336	6.3	99
tt0241124	8.4	261
tt0241357	6.1	1015
tt0241492	6.1	920
tt0241707	7.2	5
tt0242838	6.8	19
tt0242995	6.2	13
tt0243220	6.3	1930
tt0243776	4.5	52
tt0243859	6.6	612
tt0244759	4.9	19
tt0245550	6.3	10
tt0247239	5.0	10
tt0247933	5.6	36
tt0248369	6.1	20
tt0248937	7.5	13
tt0249686	6.0	12
tt0249983	4.4	380
tt0250170	7.8	15
tt0250193	5.8	16
tt0250484	6.8	40
tt0250754	5.7	1707
tt0251251	6.1	9
tt0251820	7.4	157
tt0253115	4.4	27
tt0254768	6.6	219
tt0255158	8.2	14
tt0255296	4.2	12
tt0256235	6.5	18
tt0256276	6.3	13732
tt0257281	8.0	9
tt0257778	4.6	8014
tt0257815	5.8	7
tt0258109	2.9	17
tt0259720	7.7	32
tt0259743	6.2	24
tt0259787	7.4	19
tt0259942	7.0	6
tt0260066	4.4	170
tt0261034	7.7	12
tt0261035	5.1	18
tt0261241	7.6	35
tt0261617	3.7	17
tt0262033	5.9	10
tt0262530	3.3	14
tt0262606	6.5	54
tt0262673	8.2	513
tt0262870	7.8	29
tt0263493	5.9	13
tt0264578	7.8	2207
tt0264820	7.4	618
tt0265129	5.9	140
tt0265426	6.8	73
tt0266154	6.5	34
tt0266162	4.4	65
tt0266643	7.0	809
tt0267110	6.9	20
tt0267694	6.5	144
tt0268098	5.9	51
tt0268589	6.2	89
tt0268896	7.2	1447
tt0269508	6.5	6
tt0271253	6.2	41
tt0271471	7.5	41
tt0272046	5.7	480
tt0272340	7.4	54
tt0272397	8.4	5140
tt0272521	6.7	13
tt0272950	2.6	309
tt0273678	7.4	14
tt0274014	6.2	16
tt0274707	6.6	35
tt0274993	7.1	300
tt0276158	7.8	32
tt0276169	7.3	9
tt0276209	5.7	18
tt0276313	7.2	33
tt0276745	7.6	164
tt0276917	8.0	13
tt0277044	5.9	911
tt0278308	7.1	117
tt0279346	3.6	204
tt0279527	6.0	212
tt0280067	6.0	63
tt0280498	4.8	11
tt0280545	7.2	66
tt0280631	6.0	31
tt0282638	7.0	8
tt0282759	7.0	11
tt0282909	7.1	21
tt0283203	5.8	4661
tt0283327	5.6	12
tt0283488	7.4	10
tt0283496	5.7	317
tt0283507	4.6	11
tt0283721	7.4	2740
tt0283754	6.7	3449
tt0285292	4.1	177
