tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0150310	short	Detouring Thru Maine	Detouring Thru Maine	0	1950	\N	6	Animation,Music,Short
tt0151244	movie	Das Konzert	Das Konzert	0	1944	\N	87	Comedy
tt0151470	movie	A Place by the Sea	Makom L'Yad Hayam	0	1988	\N	93	Drama
tt0153662	video	Waterbabies	Waterbabies	1	1992	\N	82	Adult,Comedy
tt0154741	movie	Kitsch	Kitsch	0	1919	\N	\N	Crime,Drama
tt0154758	movie	Ladies Only	Ladies Only	0	1939	\N	\N	Comedy
tt0155965	movie	Power to the People	Power to the People	0	1972	\N	\N	Documentary
tt0157554	short	Doñana	Doñana	0	1969	\N	17	Documentary,Short
tt0158554	movie	Chirag	Chirag	0	1943	\N	\N	\N
tt0159011	movie	Talwar Ka Dhani	Talwar Ka Dhani	0	1929	\N	\N	Action,Drama
tt0159902	tvSeries	Pit Pony	Pit Pony	0	1999	2000	22	Drama,Family,History
tt0160315	video	A Girl's Affair 15	A Girl's Affair 15	1	1998	\N	105	Adult
tt0161129	tvSeries	Baffle	Baffle	0	1973	1974	30	Game-Show
tt0162353	short	A Grande Ameaça	A Grande Ameaça	0	1957	\N	10	Documentary,Short
tt0168100	movie	Néptanítók	Néptanítók	0	1981	\N	\N	Documentary
tt0168671	movie	Dobrý voják Svejk	Dobrý voják Svejk	0	1926	\N	\N	Comedy
tt0169265	video	Sports Bloopers Encyclopedia	Sports Bloopers Encyclopedia	0	1996	\N	\N	Sport
tt0169871	movie	L'esercito più pazzo del mondo	L'esercito più pazzo del mondo	0	1981	\N	81	Comedy
tt0171444	movie	Karate Warriors	Kozure satsujin ken	0	1976	\N	89	Action,Crime,Drama
tt0172118	tvMovie	L'amour en prime	L'amour en prime	0	1995	\N	92	Comedy,Romance
tt0173125	movie	Der Revolver des Korporals	Der Revolver des Korporals	0	1967	\N	92	Drama
tt0173466	short	World's Fair and Warmer	World's Fair and Warmer	0	1934	\N	20	Comedy,Musical,Short
tt0174563	movie	El Cristo de la Vega	El Cristo de la Vega	0	1925	\N	\N	\N
tt0175312	movie	Vstuplenie	Vstuplenie	0	1963	\N	101	Drama
tt0177310	tvMovie	Twice Upon a Time	Twice Upon a Time	0	1998	\N	90	Drama,Fantasy,Romance
tt0177869	movie	Jim Hall: A Life in Progress	Jim Hall: A Life in Progress	0	1998	\N	60	Biography,Documentary,Music
tt0178352	movie	Cowboy and the Prizefighter	Cowboy and the Prizefighter	0	1949	\N	59	Western
tt0180026	movie	Operacija Ticijan	Operacija Ticijan	0	1963	\N	95	Action,Crime,Thriller
tt0181999	movie	Cat's Cradle	Cat's Cradle	0	1997	\N	\N	\N
tt0182013	short	Copacabana	Copacabana	0	1965	\N	\N	Documentary,Short
tt0183242	short	Imágenes del deporte Nº 48	Imágenes del deporte Nº 48	0	1972	\N	10	Documentary,Short,Sport
tt0184846	movie	Raiden	Raiden	0	1994	\N	\N	\N
tt0185068	tvSeries	Goodbye Darling	Goodbye Darling	0	1979	1981	50	\N
tt0188464	short	Brennon o' the Moor	Brennon o' the Moor	0	1916	\N	20	Short
tt0188979	movie	Operation Rosa Rosa	Operación rosa rosa	0	1974	\N	105	Action,Drama,Musical
tt0191005	movie	The Best of Elwood Smooch	The Best of Elwood Smooch	0	1994	\N	\N	\N
tt0191692	tvSeries	Gore dole	Gore dole	0	1996	1997	50	Comedy,Drama
tt0192853	movie	Yu ge	Yu ge	0	1956	\N	\N	\N
tt0194332	movie	San xiao	San xiao	0	1969	\N	111	Comedy,Musical
tt0194439	tvMovie	La donna del lago	La donna del lago	0	1992	\N	167	Drama,Music
tt0194949	movie	The Horror	The Horror	0	1932	\N	70	Drama,Horror
tt0196639	movie	Forced Entry 2	The Intrusion	1	1975	\N	67	Adult,Crime,Thriller
tt0197838	movie	Rose	Rose	0	1936	\N	80	\N
tt0197927	movie	Supergirls Do the Navy	Supergirls Do the Navy	1	1984	\N	80	Adult,Comedy
tt0198027	movie	Windfall	Windfall	0	1955	\N	64	Comedy
tt0198367	movie	The Three from the Filling Station	Le chemin du paradis	0	1956	\N	\N	\N
tt0199695	tvMovie	Krunisanje	Krunisanje	0	1970	\N	63	Drama
tt0201667	movie	Hou sheng	Hou sheng	0	1975	\N	100	Action,Drama
tt0202223	movie	El amateur	El amateur	0	1999	\N	88	Drama
tt0202676	movie	Could I But Live	Ware hitotsubu no mugi naredo	0	1964	\N	108	Drama
tt0205599	movie	The Purple Hairpin	Zi chai ji	0	1959	\N	135	Musical,Romance
tt0206291	short	Show Leader	Show Leader	0	1966	\N	1	Short
tt0207110	short	Lida Baarova's Bittersweet Memories	Sladke horkosti Lidy Baarove	0	1995	\N	30	Documentary,Short
tt0207132	short	The Sunshine Sisters	The Sunshine Sisters	0	1972	\N	35	Short
tt0208205	tvMovie	Hiltu ja Ragnar	Hiltu ja Ragnar	0	1988	\N	\N	Drama
tt0209870	movie	A.R.K.	A.R.K.	0	1999	\N	\N	Comedy
tt0210323	movie	Tanto calore	Tanto calore	1	1983	\N	84	Adult
tt0210826	movie	The Magical Eye	The Magical Eye	0	1989	\N	46	Documentary
tt0212309	short	Little Micky the Mesmerist	Little Micky the Mesmerist	0	1913	\N	\N	Comedy,Short
tt0213289	video	Tonya and Jeff's Wedding Night	Tonya and Jeff's Wedding Night	1	1994	\N	30	Adult,Documentary,Short
tt0215865	movie	I Could Read the Sky	I Could Read the Sky	0	1999	\N	86	Drama
tt0218322	movie	The Hanging of Jake Ellis	The Hanging of Jake Ellis	0	1969	\N	81	Western
tt0218587	short	The Sea Lions' Home	The Sea Lions' Home	0	1897	\N	1	Documentary,Short
tt0218602	movie	Shachô ninpôchô	Shachô ninpôchô	0	1965	\N	95	\N
tt0219090	movie	Imashine	Imashine	0	\N	\N	\N	\N
tt0220308	short	Amplifier	Amplifier	0	2001	\N	21	Sci-Fi,Short,Thriller
tt0220496	short	The Grail	The Grail	0	1999	\N	35	Horror,Short
tt0220848	short	Washing the Streets of Porto Rico	Washing the Streets of Porto Rico	0	1898	\N	\N	Documentary,Short
tt0222117	video	Kingdom Come	Kingdom Come	0	1993	\N	\N	\N
tt0222537	tvSeries	La casa al final de la calle	La casa al final de la calle	0	1989	1989	\N	Drama,Horror,Mystery
tt0223595	movie	Kaijin nijumenso	Kaijin nijumenso	0	1954	\N	\N	\N
tt0223792	movie	The New Schoolteacher	The New Schoolteacher	0	1995	\N	\N	\N
tt0224892	tvMovie	The Line	The Line	0	1994	\N	150	Thriller
tt0225972	short	The Triple Conjurer and the Living Head	L'illusioniste double et la tête vivante	0	1900	\N	1	Short
tt0226080	short	Lionel Forget	Lionel Forget	0	1968	\N	30	Short
tt0227871	tvSeries	Amar... al salvaje	Amar... al salvaje	0	1983	\N	60	Drama,Romance
tt0228089	tvMovie	Buford's Got a Gun	Buford's Got a Gun	0	1995	\N	31	Comedy,Drama
tt0230729	movie	Santé, notre droit	Santé, notre droit	0	1931	\N	\N	Documentary
tt0231762	video	Huge Instru-Men	Huge Instru-Men	1	1993	\N	74	Adult
tt0232543	tvMovie	Royal Family at War	Royal Family at War	0	1995	\N	90	Documentary
tt0233521	movie	Dark Habits	Kenben: Miyuki to Erika no himitsu no gishiki	0	1999	\N	60	\N
tt0234039	short	Kintu	Kintu	0	1999	\N	10	Drama,Short
tt0234330	movie	Nerum Nalla Irukku	Nerum Nalla Irukku	0	1987	\N	139	\N
tt0234776	movie	Sonnathai Seiven	Sonnathai Seiven	0	1977	\N	135	\N
tt0235876	movie	The Wedding	The Wedding	0	1999	\N	\N	\N
tt0238067	movie	Belje	Belje	0	1929	\N	\N	Documentary
tt0238620	videoGame	Spellcasting 101: Sorcerers Get All the Girls	Spellcasting 101: Sorcerers Get All the Girls	0	1990	\N	\N	Adventure,Comedy,Fantasy
tt0238932	video	Deep Inside Dirty Debutantes 7	Deep Inside Dirty Debutantes 7	1	1993	\N	\N	Adult
tt0239698	short	Naval Constructor Richmond P. Hobson	Naval Constructor Richmond P. Hobson	0	1898	\N	\N	Documentary,Short
tt0239838	short	The Price of His Honor	The Price of His Honor	0	1914	\N	27	Drama,Short
tt0240184	tvMovie	Vot opyat okno...	Vot opyat okno...	0	1982	\N	58	Drama
tt0240293	tvSeries	Retrato de Mulher	Retrato de Mulher	0	1993	\N	\N	\N
tt0240379	short	The Birds and the Beasts Were There	The Birds and the Beasts Were There	0	1944	\N	10	Documentary,Short
tt0241391	movie	Du sollst Vater und Mutter ehren!	Du sollst Vater und Mutter ehren!	0	1913	\N	\N	\N
tt0241579	movie	Irrwege	Irrwege	0	1913	\N	\N	\N
tt0242090	short	The Ultimate Challenge	The Ultimate Challenge	0	1989	\N	\N	Documentary,Short,Sport
tt0242766	movie	Pati Parmeshwar	Pati Parmeshwar	0	1978	\N	\N	\N
tt0242881	movie	Shree Krishnarjun Yuddh	Shree Krishnarjun Yuddh	0	1971	\N	136	Adventure,Drama,History
tt0245063	tvMovie	Coney Island: America's Dreamland	Coney Island: America's Dreamland	0	2000	\N	\N	Documentary
tt0245140	tvMovie	The Great American Music Celebration	The Great American Music Celebration	0	1976	\N	\N	Music
tt0245501	movie	Things Behind the Sun	Things Behind the Sun	0	2001	\N	120	Drama,Music
tt0245553	short	W.S.S. Thriftettes	W.S.S. Thriftettes	0	1918	\N	1	Animation,Short
tt0246787	short	The Miracle	The Miracle	0	1915	\N	\N	Drama,Short
tt0247422	movie	Immoral Dream: Ibitsu	Immoral Dream: Ibitsu	0	1987	\N	\N	\N
tt0249268	short	À Saint-Henri le cinq septembre	À Saint-Henri le cinq septembre	0	1962	\N	42	Documentary,Short
tt0249583	short	Home of the Iceberg	Home of the Iceberg	0	1948	\N	10	Documentary,Short
tt0250880	tvSeries	Maggie Muggins	Maggie Muggins	0	1955	1962	15	\N
tt0251236	movie	The Master Beater	The Master Beater	0	1969	\N	73	\N
tt0251646	movie	Csibi, der Fratz	Csibi, der Fratz	0	1934	\N	\N	\N
tt0252843	movie	The Unyielding	O alygistos	0	1968	\N	78	Drama
tt0253426	short	Otpadne vode	Otpadne vode	0	1972	\N	16	Documentary,Short
tt0253446	short	Parke Davis' Employees	Parke Davis' Employees	0	1899	\N	1	Documentary,Short
tt0254502	movie	Koottukar	Koottukar	0	1966	\N	\N	\N
tt0254604	short	Never Say Die!	Never Say Die!	0	1981	\N	39	Short
tt0254625	movie	New Wave	Onda Nova	0	1983	\N	102	Comedy,Sport
tt0255219	movie	A Hitherto Unrelated Incident of the Girl Spy	A Hitherto Unrelated Incident of the Girl Spy	0	1911	\N	\N	\N
tt0257244	movie	Um Soutien Para Papai	Um Soutien Para Papai	0	1975	\N	85	Comedy
tt0257524	short	A Deal with the Devil	A Deal with the Devil	0	1916	\N	\N	Drama,Fantasy,Short
tt0259345	tvEpisode	Der Wachhund	Der Wachhund	0	1996	\N	\N	Comedy,Drama
tt0260107	movie	Jeevan Dhaara	Jeevan Dhaara	0	1982	\N	137	Drama,Family
tt0260370	short	Skagen 1972	Skagen 1972	0	1973	\N	\N	Short
