nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0200109	Van Daniels	\N	\N	actor	tt0067633
nm0202820	Anne David	\N	\N	actress	tt0073686,tt0260192
nm0203619	Brian Davies	\N	\N	sound_department	tt0254494,tt1733121,tt4424818,tt0206501
nm0204327	Celesta Davis	\N	\N	actress,producer,director	tt0398722,tt0196223,tt0106168,tt0250157
nm0204331	Chantee Davis	\N	\N	actress	tt0097916
nm0205470	Silas Davis	\N	\N	actor,camera_department	tt0081186,tt0090314,tt11580426,tt11580502
nm0206111	Diana Dawson	\N	1984	actress	tt0042123,tt0044619,tt0459188,tt6585854
nm0206963	Manuel de Almeida	\N	\N	actor	tt0058081,tt1833766,tt1764242,tt0439952
nm0208149	Nils De Coster	\N	\N	cinematographer,editor,director	tt2374921,tt0436397,tt2375163,tt2339519
nm0208819	Truda de Hambourg	\N	\N	actress	tt0122041
nm0211612	De Simone	\N	\N	\N	\N
nm0211723	Maria de Sousa	\N	\N	\N	tt0492924,tt0145860
nm0213113	Leslie Dear	1920	2008	cinematographer,visual_effects,camera_department	tt0090605,tt0078346,tt0086034,tt0093428
nm0213813	Alan Decker	1961	2020	sound_department	tt1796960,tt3006802,tt1830617,tt0796280
nm0219090	Zivojin Denic	\N	\N	production_manager,actor	tt0124294,tt0180841,tt0180293,tt0068894
nm0219246	Dan Denitto	\N	\N	camera_department,miscellaneous,sound_department	tt1656190,tt0183659,tt1321860,tt0160644
nm0220238	Debra Derber	\N	\N	actress	tt0121636
nm0223607	Dhumal	1914	1987	actor	tt0290761,tt0060689,tt0147811,tt0271023
nm0223795	Vincent Di Fate	\N	\N	miscellaneous,actor,visual_effects	tt19114322,tt1119187,tt0368002,tt0270848
nm0224319	Giovanni Di Simone	1960	\N	sound_department	tt0108308,tt0338751,tt0105645,tt0124349
nm0225170	Liza DiCarlo	\N	\N	producer,production_manager,miscellaneous	tt1295867,tt0120334,tt0290935,tt1134528
nm0227831	Bruce Dinsmore	1965	\N	actor,music_department,miscellaneous	tt0169414,tt1430612,tt2175563,tt0110965
nm0229937	Steve Dobson	\N	\N	camera_department,cinematographer,producer	tt0093120,tt0203009,tt0080513,tt0095288
nm0230074	Francesca Dodd	\N	\N	sound_department,editor,editorial_department	tt0237534,tt0114369,tt0171433,tt0327437
nm0231181	Andrea Dolloff	\N	\N	actress	tt0120686
nm0231873	Cristina Donadio	1954	\N	actress	tt2049116,tt0198965,tt0107402,tt12877640
nm0232976	Erin Donovan	\N	\N	actress,writer,producer	tt8390342,tt1196946,tt3501046,tt4478188
