tconst	ordering	nconst	category	job	characters
tt0349604	4	nm1311368	director	\N	\N
tt0350284	2	nm0524866	director	\N	\N
tt0351691	4	nm0155548	director	\N	\N
tt0352356	5	nm0241222	director	\N	\N
tt0352864	11	nm0853535	director	\N	\N
tt0353538	9	nm0856161	director	\N	\N
tt0355992	11	nm0839137	director	\N	\N
tt0357033	11	nm0008443	director	\N	\N
tt0359723	2	nm1347654	director	\N	\N
tt0363057	10	nm0518579	director	\N	\N
tt0363540	9	nm0288616	director	\N	\N
tt0366198	4	nm1376717	director	\N	\N
tt0366551	11	nm0500444	director	\N	\N
tt0366946	11	nm0770451	director	\N	\N
tt0367699	11	nm1354372	director	\N	\N
tt0368428	11	nm0482774	director	director	\N
tt0369046	7	nm0145036	director	\N	\N
tt0373886	11	nm0252751	director	director	\N
tt0374587	2	nm1416823	director	\N	\N
tt0380693	11	nm0784010	director	\N	\N
tt0380808	6	nm1315011	director	director	\N
tt0381558	11	nm1163737	director	\N	\N
tt0385098	1	nm1340117	director	\N	\N
tt0387253	11	nm0022347	director	\N	\N
tt0388398	11	nm1487862	director	\N	\N
tt0389217	10	nm0000561	director	\N	\N
tt0389394	1	nm0140196	director	\N	\N
tt0394097	11	nm0103975	director	\N	\N
tt0394296	11	nm0093748	director	\N	\N
tt0394691	11	nm0331495	director	\N	\N
tt0395156	15	nm1061354	director	\N	\N
tt0395788	1	nm0293117	director	\N	\N
tt0395812	11	nm0905729	director	director	\N
tt0396643	2	nm0856288	director	\N	\N
tt0396736	10	nm1537157	director	\N	\N
tt0399728	8	nm0853155	director	director	\N
tt0401884	11	nm0308257	director	\N	\N
tt0402086	1	nm1193349	director	\N	\N
tt0402419	1	nm1570761	director	\N	\N
tt0403518	4	nm0245385	director	\N	\N
tt0404472	8	nm0715636	director	\N	\N
tt0405302	6	nm1047697	director	\N	\N
tt0405328	3	nm0999415	director	\N	\N
tt0405914	8	nm0797450	director	\N	\N
tt0407110	1	nm1551251	director	\N	\N
tt0408509	10	nm0535051	director	\N	\N
tt0409380	3	nm1051346	director	\N	\N
tt0410857	9	nm0207010	director	\N	\N
tt0411455	11	nm0497710	director	\N	\N
tt0412651	7	nm0053092	director	\N	\N
tt0413066	4	nm1510487	director	\N	\N
tt0413167	11	nm0222523	director	\N	\N
tt0413244	11	nm0351531	director	\N	\N
tt0415348	11	nm0045256	director	director	\N
tt0415478	11	nm0894714	director	\N	\N
tt0415944	1	nm0315370	director	director	\N
tt0416032	8	nm1641326	director	\N	\N
tt0419541	6	nm0531759	director	\N	\N
tt0419764	10	nm1676025	director	\N	\N
tt0420200	4	nm0166259	director	\N	\N
tt0420505	1	nm1683684	director	\N	\N
tt0421597	11	nm0712354	director	\N	\N
tt0421991	11	nm1136398	director	director	\N
tt0422365	2	nm1701247	director	\N	\N
tt0426836	11	nm0722769	director	\N	\N
tt0427613	2	nm0597597	director	\N	\N
tt0430566	5	nm0496900	director	\N	\N
tt0432037	2	nm1764619	director	\N	\N
tt0434377	11	nm1258385	director	\N	\N
tt0438117	11	nm0430991	director	\N	\N
tt0438410	13	nm0225924	director	\N	\N
tt0441015	6	nm1145806	director	\N	\N
tt0443670	8	nm0943301	director	\N	\N
tt0446981	1	nm0317959	director	\N	\N
tt0450823	1	nm1865642	director	\N	\N
tt0450832	10	nm1868478	director	director	\N
tt0450996	11	nm1437277	director	\N	\N
tt0452324	1	nm1879961	director	\N	\N
tt0452953	1	nm0804434	director	\N	\N
tt0452954	10	nm0796780	director	\N	\N
tt0453134	10	nm0861931	director	\N	\N
tt0453188	11	nm1147556	director	\N	\N
tt0457003	2	nm1901198	director	\N	\N
tt0458831	11	nm0824445	director	director	\N
tt0460158	3	nm0153713	director	director	\N
tt0460189	2	nm1653751	director	\N	\N
tt0460927	2	nm0682176	director	\N	\N
tt0461649	1	nm1712314	director	\N	\N
tt0462250	11	nm1319539	director	\N	\N
tt0465521	10	nm2021776	director	\N	\N
tt0465920	11	nm1959395	director	director	\N
tt0469565	8	nm0047971	director	\N	\N
tt0470767	4	nm1342084	director	\N	\N
tt0474595	10	nm1836057	director	\N	\N
tt0477686	4	nm0382730	director	director	\N
tt0479237	11	nm0951304	director	\N	\N
tt0479376	11	nm0841324	director	\N	\N
tt0480024	8	nm1418397	director	\N	\N
tt0483320	6	nm0962849	director	\N	\N
tt0484502	12	nm1267643	director	\N	\N
tt0486032	4	nm1754452	director	\N	\N
tt0486914	7	nm2097419	director	\N	\N
tt0487479	1	nm2088284	director	\N	\N
tt0488955	11	nm0040220	director	\N	\N
tt0489931	11	nm0968625	director	\N	\N
tt0492277	11	nm1046187	director	\N	\N
tt0493388	7	nm1940917	director	\N	\N
tt0494882	2	nm2142889	director	\N	\N
tt0495060	5	nm2143272	director	\N	\N
tt0496621	39	nm1188121	director	voice director	\N
tt0498111	2	nm0000813	director	director	\N
tt0499044	11	nm1779876	director	\N	\N
tt0502157	11	nm0445238	director	\N	\N
tt0502214	11	nm0143984	director	\N	\N
tt0502750	11	nm0400958	director	\N	\N
tt0505081	8	nm0256350	director	\N	\N
tt0506427	11	nm0279807	director	\N	\N
tt0507139	11	nm0738180	director	\N	\N
tt0508759	10	nm0200022	director	\N	\N
tt0509557	11	nm0684915	director	\N	\N
tt0509841	11	nm0091575	director	\N	\N
tt0512408	10	nm0842093	director	\N	\N
tt0513391	12	nm0053475	director	\N	\N
tt0514442	11	nm0229004	director	\N	\N
tt0516305	11	nm0271025	director	\N	\N
tt0519350	11	nm0507163	director	\N	\N
tt0519485	12	nm0905729	director	director	\N
tt0522561	10	nm0498614	director	director	\N
tt0524450	6	nm0369251	director	director	\N
tt0524515	7	nm0554169	director	\N	\N
tt0525762	11	nm0924880	director	\N	\N
tt0526610	11	nm0723629	director	\N	\N
tt0529906	7	nm0561797	director	\N	\N
tt0534546	11	nm0928243	director	\N	\N
tt0536569	9	nm0694516	director	\N	\N
tt0536741	11	nm0296945	director	\N	\N
tt0536797	11	nm0913637	director	\N	\N
tt0537298	11	nm0528186	director	\N	\N
tt0538913	3	nm2686640	director	\N	\N
tt0540660	10	nm0699441	director	\N	\N
tt0541118	6	nm0400790	director	\N	\N
tt0541267	11	nm0624809	director	\N	\N
tt0541635	11	nm1089575	director	\N	\N
tt0541929	9	nm0553077	director	\N	\N
tt0542943	11	nm0593576	director	\N	\N
tt0543871	11	nm0266144	director	\N	\N
tt0545991	11	nm1951120	director	\N	\N
tt0546371	11	nm0797545	director	\N	\N
tt0547315	12	nm0888505	director	\N	\N
tt0550014	11	nm0936823	director	\N	\N
tt0550105	11	nm0234669	director	\N	\N
tt0554149	11	nm0439776	director	\N	\N
tt0554677	11	nm0193303	director	\N	\N
tt0556367	11	nm0308417	director	\N	\N
tt0556480	10	nm0126448	director	\N	\N
tt0556878	11	nm0569708	director	\N	\N
tt0557104	8	nm0861679	director	\N	\N
tt0558356	11	nm0065614	director	\N	\N
tt0558753	11	nm0625383	director	\N	\N
tt0559002	10	nm0850733	director	director	\N
tt0559228	11	nm0568546	director	\N	\N
tt0560861	11	nm0918659	director	\N	\N
tt0561875	11	nm0186799	director	\N	\N
tt0563035	8	nm0039453	director	\N	\N
tt0566801	9	nm0242409	director	\N	\N
tt0571149	3	nm0795095	director	\N	\N
tt0573838	11	nm0307680	director	\N	\N
tt0574668	11	nm0721728	director	\N	\N
